id;position;section;recipe_id
1;1;Section: 1 Recipe: 1;1
2;2;Section: 2 Recipe: 1;1
3;3;Section: 3 Recipe: 1;1
4;4;Section: 4 Recipe: 1;1
5;1;Section: 1 Recipe: 2;2
6;2;Section: 2 Recipe: 2;2
7;3;Section: 3 Recipe: 2;2
8;1;Section: 1 Recipe: 3;3
9;2;Section: 2 Recipe: 3;3
10;1;Section: 1 Recipe: 4;4
11;2;Section: 2 Recipe: 4;4
12;3;Section: 3 Recipe: 4;4
13;4;Section: 4 Recipe: 4;4
14;5;Section: 5 Recipe: 4;4
15;6;Section: 6 Recipe: 4;4
16;7;Section: 7 Recipe: 4;4
17;8;Section: 8 Recipe: 4;4
18;9;Section: 9 Recipe: 4;4
19;1;Section: 1 Recipe: 5;5
20;2;Section: 2 Recipe: 5;5
21;1;Section: 1 Recipe: 6;6
22;2;Section: 2 Recipe: 6;6
23;1;Section: 1 Recipe: 7;7
24;2;Section: 2 Recipe: 7;7
25;3;Section: 3 Recipe: 7;7
26;1;Section: 1 Recipe: 8;8
27;2;Section: 2 Recipe: 8;8
28;1;Section: 1 Recipe: 9;9
29;1;Section: 1 Recipe: 10;10
30;1;Section: 1 Recipe: 11;11
31;1;Section: 1 Recipe: 12;12
32;1;Section: 1 Recipe: 13;13
33;2;Section: 2 Recipe: 13;13
34;1;Section: 1 Recipe: 14;14
35;2;Section: 2 Recipe: 14;14
36;3;Section: 3 Recipe: 14;14
37;1;Section: 1 Recipe: 15;15
38;2;Section: 2 Recipe: 15;15
39;3;Section: 3 Recipe: 15;15
40;4;Section: 4 Recipe: 15;15
41;1;Section: 1 Recipe: 16;16
42;2;Section: 2 Recipe: 16;16
43;1;Section: 1 Recipe: 17;17
44;2;Section: 2 Recipe: 17;17
45;1;Section: 1 Recipe: 18;18
46;2;Section: 2 Recipe: 18;18
47;1;Section: 1 Recipe: 19;19
48;2;Section: 2 Recipe: 19;19
49;1;Section: 1 Recipe: 20;20
50;2;Section: 2 Recipe: 20;20
